Sentiment Category	  Total sentiment_results	  Average sentiment
    positive	                310	                 202,0966
    neutral	                   113	                     0
    negative	                22	                  -8,611



review_text,summary,cleaned_review,tokenized_review,sentiment_scores,compound_sentiment,sentiment_category
  I had to return the first pair and buy a 1/2 size smaller.  First time I've had to buy smaller for Nike.,  Seem to Run Big,  i had to return the first pair and buy a  size smaller  first time ive had to buy smaller for nike,   return pair buy   size smaller   time ve buy smaller nike,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Fit comfortable,  Five Stars,  fit comfortable,   fit comfortable,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7003}",0.7003,positive
  My favorite running shoes!  The wall of the shoe is very thin, which makes them very comfortable to wear if your feet swell as you run.  I would not recommend for use on concrete or a treadmill,  my favorite running shoes  the wall of the shoe is very thin,   favorite running shoes   wall shoe thin,"{'neg': 0.0, 'neu': 0.77, 'pos': 0.23, 'compound': 0.5093}",0.5093,positive
  Nice fit,  Four Stars,  nice fit,   nice fit,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6486}",0.6486,positive
 reviewerName: Amazon Customer, reviewText: I bought these for gym training - weight class and dance class (body jam, reviewername amazon customer,  reviewername amazon customer,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.1779}",0.1779,positive
  They fit perfect, extremely comfortable,  they fit perfect,   fit perfect,"{'neg': 0.0, 'neu': 0.139, 'pos': 0.861, 'compound': 0.7351}",0.7351,positive
  No arch support but l love the colors!,  Three Stars,  no arch support but l love the colors,   arch support l love colors,"{'neg': 0.118, 'neu': 0.295, 'pos': 0.586, 'compound': 0.8096}",0.8096,positive
  Shoe was somewhat large,  Size problem,  shoe was somewhat large,   shoe somewhat large,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  This is a great shoe for in gym workouts. I did take a 10 mile hike and had a blister on my pinky, but other than that these are very comfortable shoes!,  this is a great shoe for in gym workouts i did take a  mile hike and had a blister on my pinky,   great shoe gym workouts   mile hike blister pinky,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.6249}",0.6249,positive
  Comfortable and light,  Best birthday present,  comfortable and light,   comfortable light,"{'neg': 0.0, 'neu': 0.377, 'pos': 0.623, 'compound': 0.5106}",0.5106,positive
  Purchased these for my wife as she has a similar pair that is wearing out.  She has feet are difficult to fit and these fit perfectly without pressure on sensitive portions of her feet.,  Purchased these for my wife as she has a similar ...,  purchased these for my wife as she has a similar pair that is wearing out  she has feet are difficult to fit and these fit perfectly without pressure on sensitive portions of her feet,   purchased wife similar pair wearing   feet difficult fit fit perfectly pressure sensitive portions feet,"{'neg': 0.06, 'neu': 0.673, 'pos': 0.267, 'compound': 0.8219}",0.8219,positive
  I have pretty high arches and my calves always hurt at the gym with other shoes. I have been on the hunt for a good cross trainer that I can use to lift, take gym classes,  i have pretty high arches and my calves always hurt at the gym with other shoes i have been on the hunt for a good cross trainer that i can use to lift,   pretty high arches calves hurt gym shoes hunt good cross trainer use lift,"{'neg': 0.096, 'neu': 0.732, 'pos': 0.172, 'compound': 0.4019}",0.4019,positive
  Great shoes,  Five Stars,  great shoes,   great shoes,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,positive
  These were exactly what I expected.,  Five Stars,  these were exactly what i expected,   exactly expected,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Love love love,  Five Stars,  love love love,   love love love,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.9274}",0.9274,positive
  I always wear a womans 9 in Nikes but these are bigger than usual. The right one almost slips off my foot a bit.  They are really light and not as sturdy as what I was looking for but over all not bad.,  They are really light and not as sturdy as what I was looking for but over all ...,  i always wear a womans  in nikes but these are bigger than usual the right one almost slips off my foot a bit  they are really light and not as sturdy as what i was looking for but over all not bad,   wear womans   nikes bigger usual right slips foot bit   light sturdy looking bad,"{'neg': 0.0, 'neu': 0.907, 'pos': 0.093, 'compound': 0.5824}",0.5824,positive
  These shoes are awesome!!,  Five Stars,  these shoes are awesome,   shoes awesome,"{'neg': 0.0, 'neu': 0.39, 'pos': 0.61, 'compound': 0.6892}",0.6892,positive
  l always buy Nike shoes and been happy so far, but this time my left shoe fit perfectly while the right shoe was too loose on my heal and when I tighten it more it was hurting side of my foot.,  l always buy nike shoes and been happy so far,   l buy nike shoes happy far,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.5719}",0.5719,positive
  Bought these as my back up shoes but they have turned into my daily ones I go to! So comfortable and my feet don't hurt after long hours on my feet. I own a cleaning business so I need my feet not to hurt in the middle of the day.,  Honestly Fantastic Shoes,  bought these as my back up shoes but they have turned into my daily ones i go to so comfortable and my feet dont hurt after long hours on my feet i own a cleaning business so i need my feet not to hurt in the middle of the day,   bought shoes turned daily ones comfortable feet nt hurt long hours feet cleaning business need feet hurt middle day,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.9261}",0.9261,positive
  Absolutely love these shoes and color!! They are perfect for running! I run roughly 4 miles 3x per week. This is my second or 3rd pair of this exact style. Fit is perfect!,  Absolutely love these shoes and color,  absolutely love these shoes and color they are perfect for running i run roughly  miles x per week this is my second or rd pair of this exact style fit is perfect,   absolutely love shoes color perfect running run roughly   miles x week second rd pair exact style fit perfect,"{'neg': 0.0, 'neu': 0.634, 'pos': 0.366, 'compound': 0.9482}",0.9482,positive
  Super comfy!,  Five Stars,  super comfy,   super comfy,"{'neg': 0.0, 'neu': 0.193, 'pos': 0.807, 'compound': 0.636}",0.636,positive
  Ordered half a size larger than my usual shoe size and fits perfectly.,  Nike runs small,  ordered half a size larger than my usual shoe size and fits perfectly,   ordered half size larger usual shoe size fits perfectly,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.6369}",0.6369,positive
  Fit well.,  Five Stars,  fit well,   fit,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",0.5574,positive
  The fit was perfect! I Highly recommend this shoe.,  Five Stars,  the fit was perfect i highly recommend this shoe,   fit perfect highly recommend shoe,"{'neg': 0.0, 'neu': 0.35, 'pos': 0.65, 'compound': 0.8513}",0.8513,positive
  Obsessed with these shoes! I was looking for good all around sneakers (running, walking,  obsessed with these shoes i was looking for good all around sneakers running,   obsessed shoes looking good sneakers running,"{'neg': 0.114, 'neu': 0.672, 'pos': 0.214, 'compound': 0.3595}",0.3595,positive
  Cute shoe, fit as expected,  cute shoe,   cute shoe,"{'neg': 0.0, 'neu': 0.25, 'pos': 0.75, 'compound': 0.4588}",0.4588,positive
  On time, nice sneakers. Fit as expected.,  on time,   time,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Perfect fit, as always.,  perfect fit,   perfect fit,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7351}",0.7351,positive
  Great shoe, very comfortable,  great shoe,   great shoe,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,positive
  Love these sneakers! Perfect fit and super light,  Five Stars,  love these sneakers perfect fit and super light,   love sneakers perfect fit super light,"{'neg': 0.0, 'neu': 0.215, 'pos': 0.785, 'compound': 0.9392}",0.9392,positive
  These shoes fit like a glove! Light but very supportive! I have worn them several times and feel very light on my feet.,  These shoes fit like a glove,  these shoes fit like a glove light but very supportive i have worn them several times and feel very light on my feet,   shoes fit like glove light supportive worn times feel light feet,"{'neg': 0.116, 'neu': 0.618, 'pos': 0.266, 'compound': 0.4815}",0.4815,positive
  Fit true to size,  Five Stars,  fit true to size,   fit true size,"{'neg': 0.0, 'neu': 0.274, 'pos': 0.726, 'compound': 0.6486}",0.6486,positive
  Love the fit,  Five Stars,  love the fit,   love fit,"{'neg': 0.0, 'neu': 0.13, 'pos': 0.87, 'compound': 0.7717}",0.7717,positive
  Nike always makes a good shoe ..abit rough breaking them in but after 9 hours on my feet anyone's feet would hurt abit,  Nike always makes a good shoe.,  nike always makes a good shoe abit rough breaking them in but after  hours on my feet anyones feet would hurt abit,   nike makes good shoe abit rough breaking   hours feet anyones feet hurt abit,"{'neg': 0.18, 'neu': 0.744, 'pos': 0.076, 'compound': -0.5647}",-0.5647,negative
  Oops! I returned these because I ordered wrong size!,  One Star,  oops i returned these because i ordered wrong size,   oops returned ordered wrong size,"{'neg': 0.38, 'neu': 0.62, 'pos': 0.0, 'compound': -0.5696}",-0.5696,negative
  Extremely comfortable sneaker!,  Five Stars,  extremely comfortable sneaker,   extremely comfortable sneaker,"{'neg': 0.0, 'neu': 0.34, 'pos': 0.66, 'compound': 0.5974}",0.5974,positive
  Good looking shoe,   Shoes,  good looking shoe,   good looking shoe,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,positive
  I have had this style before in a different color and have received many compliments on the shoes.  They are great walking shoes!  I wear orthotics and these shoes are one of the best I have found to accommodate them for fit.,  Love these shoes,  i have had this style before in a different color and have received many compliments on the shoes  they are great walking shoes  i wear orthotics and these shoes are one of the best i have found to accommodate them for fit,   style different color received compliments shoes   great walking shoes   wear orthotics shoes best found accommodate fit,"{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.9299}",0.9299,positive
  I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home,  i loved these shoesthat is until after about an hour of wear,   loved shoesthat hour wear,"{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.5994}",0.5994,positive
  Great! Super comfy and cute! No issues and fit perfect!,  perfect,  great super comfy and cute no issues and fit perfect,   great super comfy cute issues fit perfect,"{'neg': 0.091, 'neu': 0.165, 'pos': 0.745, 'compound': 0.9507}",0.9507,positive
  Good shoes,  Five Stars,  good shoes,   good shoes,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
  I returned them...found a Ryka pair I liked better,  found a Ryka pair I liked,  i returned themfound a ryka pair i liked better,   returned themfound ryka pair liked better,"{'neg': 0.0, 'neu': 0.412, 'pos': 0.588, 'compound': 0.6908}",0.6908,positive
  BEST sneakers I've ever purchased!!!!,  Five Stars,  best sneakers ive ever purchased,   best sneakers ve purchased,"{'neg': 0.0, 'neu': 0.396, 'pos': 0.604, 'compound': 0.7964}",0.7964,positive
  Excellent ...!!!,  Five Stars,  excellent ,   excellent,"{'neg': 0.0, 'neu': 0.179, 'pos': 0.821, 'compound': 0.6784}",0.6784,positive
  the best sneakers by far! I had never owned a pair of Nike sneakers, and I went solely on the reviews by others...\nAnd I absolutely loved them!!,  the best sneakers by far i had never owned a pair of nike sneakers,   best sneakers far owned pair nike sneakers,"{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.6696}",0.6696,positive
  Love these shoes. I've been buying Nikes for years now. I bought this pair for work and everyday wear and another pair for working out and active wear. They also last a long time in my opinion, especially if you take care of them.,  love these shoes ive been buying nikes for years now i bought this pair for work and everyday wear and another pair for working out and active wear they also last a long time in my opinion,   love shoes ve buying nikes years bought pair work everyday wear pair working active wear long time opinion,"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.7845}",0.7845,positive
  Right one is slightly tight.. hope it will stretch out.. !!,  Four Stars,  right one is slightly tight hope it will stretch out ,   right slightly tight hope stretch,"{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.4949}",0.4949,positive
  They're ugly: the toe is rounded and the material is weird. the Nike Womens Flex Trainer 6 is way better looking and costs about the same.,  the Nike Womens Flex Trainer 6 is way better looking and costs about the same,  theyre ugly the toe is rounded and the material is weird the nike womens flex trainer  is way better looking and costs about the same,   ugly toe rounded material weird nike womens flex trainer   way better looking costs,"{'neg': 0.167, 'neu': 0.736, 'pos': 0.097, 'compound': -0.2732}",-0.2732,negative
  So lightweight and awesome!,  Five Stars,  so lightweight and awesome,   lightweight awesome,"{'neg': 0.0, 'neu': 0.392, 'pos': 0.608, 'compound': 0.6864}",0.6864,positive
  Luv them!!,  Five Stars,  luv them,   luv,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Love the color and fit. I use them to work on at the gym on the treadmill and they are very light and comfortable.,  Love the color and fit,  love the color and fit i use them to work on at the gym on the treadmill and they are very light and comfortable,   love color fit use work gym treadmill light comfortable,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.8824}",0.8824,positive
  Bought these shoes with HIIT in mind, but not too sure how I like the fit on my foot. First time to wear them,  bought these shoes with hiit in mind,   bought shoes hiit mind,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  My daughter loves them. Great fit!,  Great fit!,  my daughter loves them great fit,   daughter loves great fit,"{'neg': 0.0, 'neu': 0.221, 'pos': 0.779, 'compound': 0.8908}",0.8908,positive
  This is a very attractive shoe. It is true to size and fits as expected. Very satisfied with the seller - delivered on time.,  Very satisfied with the seller - delivered on time,  this is a very attractive shoe it is true to size and fits as expected very satisfied with the seller  delivered on time,   attractive shoe true size fits expected satisfied seller   delivered time,"{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.8437}",0.8437,positive
  Fits good, very lightweight.,  fits good,   fits good,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
  Comfortable shoe for both workout sessions and walking.  Neither too bulky nor too light.  This is my second pair because they fit and have no neon or pink colors, just nice basic B&W.,  comfortable shoe for both workout sessions and walking  neither too bulky nor too light  this is my second pair because they fit and have no neon or pink colors,   comfortable shoe workout sessions walking   bulky light   second pair fit neon pink colors,"{'neg': 0.065, 'neu': 0.765, 'pos': 0.171, 'compound': 0.5574}",0.5574,positive
  Nice,  Five Stars,  nice,   nice,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,positive
  These are the best shoes I have ever use for my workouts!!! I love them and buy them in bulk!!! LOL,  These are the best shoes I have ever use for my workouts,  these are the best shoes i have ever use for my workouts i love them and buy them in bulk lol,   best shoes use workouts love buy bulk lol,"{'neg': 0.0, 'neu': 0.55, 'pos': 0.45, 'compound': 0.9337}",0.9337,positive
  I love these shoes.  They fit as expected and they look really nice on.  These shoes have a narrow base which I really like.  I don't like the ones that make your foot look wide.,  I love these shoes,  i love these shoes  they fit as expected and they look really nice on  these shoes have a narrow base which i really like  i dont like the ones that make your foot look wide,   love shoes   fit expected look nice   shoes narrow base like   nt like ones foot look wide,"{'neg': 0.0, 'neu': 0.628, 'pos': 0.372, 'compound': 0.9369}",0.9369,positive
  Love this product.  Great fit.,  Five Stars,  love this product  great fit,   love product   great fit,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.8957}",0.8957,positive
  Very low cut heel so if you training and pushing sleds - I ran right out of shoes! Although the traction on toe and heel are great,  Low cut heels,  very low cut heel so if you training and pushing sleds  i ran right out of shoes although the traction on toe and heel are great,   low cut heel training pushing sleds   ran right shoes traction toe heel great,"{'neg': 0.162, 'neu': 0.706, 'pos': 0.132, 'compound': 0.1582}",0.1582,positive
  Just what I needed for Group Fight class. Quick movements and footwork are so easy in these sneakers. Love them.,  Perfect,  just what i needed for group fight class quick movements and footwork are so easy in these sneakers love them,   needed group fight class quick movements footwork easy sneakers love,"{'neg': 0.098, 'neu': 0.603, 'pos': 0.299, 'compound': 0.7462}",0.7462,positive
  Love! Great price too.,  Exactly what I wanted,  love great price too,   love great price,"{'neg': 0.0, 'neu': 0.189, 'pos': 0.811, 'compound': 0.8622}",0.8622,positive
  It's been a long time since I've worked a cross training shoe. This shoe is very light and minimally passed compared to running shoes. That's not meant to be a knock, just a fact.\n\nI ordered the shoes half a size up because as a former runner,  its been a long time since ive worked a cross training shoe this shoe is very light and minimally passed compared to running shoes thats not meant to be a knock,   long time ve worked cross training shoe shoe light minimally passed compared running shoes s meant knock,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Good indoor training shoes for running on treadmill, doing lunges and regular exercises at the gym. These are very flexible,  good indoor training shoes for running on treadmill,   good indoor training shoes running treadmill,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,positive
  Perf.,  So Perf.,  perf,   perf,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Best shoes ever!!!,  Five Stars,  best shoes ever,   best shoes,"{'neg': 0.0, 'neu': 0.283, 'pos': 0.717, 'compound': 0.7249}",0.7249,positive
  Fit good,  Five Stars,  fit good,   fit good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6597}",0.6597,positive
  I use these for my Cardio Dance class and they are perfect and very cute. I would definitely recommend. They also cam earlier than expected!!,  Great work out shoe,  i use these for my cardio dance class and they are perfect and very cute i would definitely recommend they also cam earlier than expected,   use cardio dance class perfect cute definitely recommend cam earlier expected,"{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.9192}",0.9192,positive
  I love these shoes so much that  I reordered another pair online. It's hard to find shoes that fit my really wide feet! The heel back is my favorite part on them, they're thin and feel like another layer of skin,  i love these shoes so much that  i reordered another pair online its hard to find shoes that fit my really wide feet the heel back is my favorite part on them,   love shoes   reordered pair online hard find shoes fit wide feet heel favorite,"{'neg': 0.037, 'neu': 0.695, 'pos': 0.267, 'compound': 0.8622}",0.8622,positive
  Love these sneakers. Light weight and comfortable even without socks.,  Comfortable,  love these sneakers light weight and comfortable even without socks,   love sneakers light weight comfortable socks,"{'neg': 0.0, 'neu': 0.516, 'pos': 0.484, 'compound': 0.8176}",0.8176,positive
  Nice product,  Four Stars,  nice product,   nice product,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,positive
  I feel like this pair of shoes was made for my feet. Great fit and comfort! Very pleased with this purchase.,  I feel like this pair of shoes was made for my feet,  i feel like this pair of shoes was made for my feet great fit and comfort very pleased with this purchase,   feel like pair shoes feet great fit comfort pleased purchase,"{'neg': 0.0, 'neu': 0.499, 'pos': 0.501, 'compound': 0.9335}",0.9335,positive
  Quick tranasaction!!!  Loved the shoes!!!  Would purchase from them again!!!,  Awesome shoes!!!,  quick tranasaction  loved the shoes  would purchase from them again,   quick tranasaction   loved shoes   purchase,"{'neg': 0.0, 'neu': 0.64, 'pos': 0.36, 'compound': 0.7243}",0.7243,positive
  I got the impression it's cushiony and comfy by reading the reviews on this product, when i tried it on it was a much firmer than my other work shoes,  i got the impression its cushiony and comfy by reading the reviews on this product,   got impression cushiony comfy reading reviews product,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.2263}",0.2263,positive
  So comfortable, I don't even feel like I have a sneaker on. Based on the other reviews I got a half a size up and glad I did.,  so comfortable,   comfortable,"{'neg': 0.0, 'neu': 0.218, 'pos': 0.782, 'compound': 0.5563}",0.5563,positive
  they are very comfortable feel like you have nothing on.,  Five Stars,  they are very comfortable feel like you have nothing on,   comfortable feel like,"{'neg': 0.0, 'neu': 0.557, 'pos': 0.443, 'compound': 0.7474}",0.7474,positive
  My favorite nike shoe,  Five Stars,  my favorite nike shoe,   favorite nike shoe,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}",0.4588,positive
  Super comfortable and extremely lightweight. Great for crossfit!,  Five Stars,  super comfortable and extremely lightweight great for crossfit,   super comfortable extremely lightweight great crossfit,"{'neg': 0.0, 'neu': 0.296, 'pos': 0.704, 'compound': 0.9165}",0.9165,positive
  Beautiful I love them comfy,  Five Stars,  beautiful i love them comfy,   beautiful love comfy,"{'neg': 0.0, 'neu': 0.198, 'pos': 0.802, 'compound': 0.8442}",0.8442,positive
  I've not even had them a month and the bottom is coming off. I'm not happy!,  Falling apart already!!,  ive not even had them a month and the bottom is coming off im not happy,   ve month coming m happy,"{'neg': 0.19, 'neu': 0.81, 'pos': 0.0, 'compound': -0.509}",-0.509,negative
  Love them! Fit exactly as expected in length and width! I would definitely buy these again.,  Five Stars,  love them fit exactly as expected in length and width i would definitely buy these again,   love fit exactly expected length width definitely buy,"{'neg': 0.0, 'neu': 0.546, 'pos': 0.454, 'compound': 0.8745}",0.8745,positive
  My second pair, love the fit,  my second pair,   second pair,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  I have wide feet and these were too narrow but very nice looking.,  Nike,  i have wide feet and these were too narrow but very nice looking,   wide feet narrow nice looking,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.6297}",0.6297,positive
  Ugh... way to large - is this for a man?,  Nope,  ugh way to large  is this for a man,   ugh way large   man,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  The shoe fit has expected. It is comfortable.,  It is comfortable.,  the shoe fit has expected it is comfortable,   shoe fit expected comfortable,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.7003}",0.7003,positive
  They fit great, look great,  they fit great,   fit great,"{'neg': 0.0, 'neu': 0.132, 'pos': 0.868, 'compound': 0.765}",0.765,positive
 asin: B001IKJOLW, style: {Size::  7.5 D - Wide, asin bikjolw,  asin bikjolw,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 asin: B001IKJOLW, style: {Size::  10 B(M) US, asin bikjolw,  asin bikjolw,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Wife happy with fit.,  HIIT shoes,  wife happy with fit,   wife happy fit,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.7351}",0.7351,positive
  They run big. Order a full size smaller.,  Four Stars,  they run big order a full size smaller,   run big order size smaller,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Super light and very comfortable. I'm a runner and they lack a bit in arch support, so the soles of my feet are a sore. I'm going to add an insert to try fix the problem.,  super light and very comfortable im a runner and they lack a bit in arch support,   super light comfortable m runner lack bit arch support,"{'neg': 0.102, 'neu': 0.445, 'pos': 0.453, 'compound': 0.8357}",0.8357,positive
  Just because they are white, they do need a washing regularly but I have received many compliments on how pretty these white and pink shoes are. Extremely good Nike quality. Highly recommended.,  just because they are white,   white,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Arrived in time. Fit as exoected. They take some breaking in but I wore them 2 days in a row for more than five hours per day.,  Wide sneaker for wide feet,  arrived in time fit as exoected they take some breaking in but i wore them  days in a row for more than five hours per day,   arrived time fit exoected breaking wore   days row hours day,"{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.1901}",0.1901,positive
  I've been using these to exercise and they are nice a roomy and allow my feet to breath. Also love the colors.,  I've been using these to exercise and they are nice a roomy and allow my feet to breath,  ive been using these to exercise and they are nice a roomy and allow my feet to breath also love the colors,   ve exercise nice roomy allow feet breath love colors,"{'neg': 0.0, 'neu': 0.669, 'pos': 0.331, 'compound': 0.836}",0.836,positive
  Comfortable from the start and very light.,  Five Stars,  comfortable from the start and very light,   comfortable start light,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.5106}",0.5106,positive
  As expected.,  Five Stars,  as expected,   expected,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Lightweight, comfortable,  lightweight,   lightweight,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  I love these and have them in a light blue too. Very light weight, airy,  i love these and have them in a light blue too very light weight,   love light blue light weight,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.6369}",0.6369,positive
  good quality,  Five Stars,  good quality,   good quality,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
  Very comfortable sneakers and I also like the way it fits.,  Four Stars,  very comfortable sneakers and i also like the way it fits,   comfortable sneakers like way fits,"{'neg': 0.0, 'neu': 0.568, 'pos': 0.432, 'compound': 0.7264}",0.7264,positive
  Purchased to wear for weightlifting and Zumba. Zumba trial was last night, and they were great! Super comfortable,  purchased to wear for weightlifting and zumba zumba trial was last night,   purchased wear weightlifting zumba zumba trial night,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Comfortable and lightweight.,  Five Stars,  comfortable and lightweight,   comfortable lightweight,"{'neg': 0.0, 'neu': 0.377, 'pos': 0.623, 'compound': 0.5106}",0.5106,positive
  I love these shoes my second pair of 40 plus $ shoes and they both have certainly out done the $100 K-swiss that I'm looking to return . The shoes are extremely comfortable, all my clients love them,  i love these shoes my second pair of  plus  shoes and they both have certainly out done the  kswiss that im looking to return  the shoes are extremely comfortable,   love shoes second pair   plus   shoes certainly   kswiss m looking return   shoes extremely comfortable,"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.8805}",0.8805,positive
  They fit as expected and perfect for training, the shoelaces are a little bit too long. Other than that these shoes are as I expected them !,  they fit as expected and perfect for training,   fit expected perfect training,"{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.7351}",0.7351,positive
  Extremely well fitting and light weight,  Five Stars,  extremely well fitting and light weight,   extremely fitting light weight,"{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.3384}",0.3384,positive
  Perfect,  Five Stars,  perfect,   perfect,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",0.5719,positive
  Love them,  Five Stars,  love them,   love,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,positive
  I love these shoes and have worn them for a long time. That are comfy, thinner on the top & sole and are very cute!,  i love these shoes and have worn them for a long time that are comfy,   love shoes worn long time comfy,"{'neg': 0.126, 'neu': 0.632, 'pos': 0.241, 'compound': 0.4588}",0.4588,positive
  Fast shipping and turned out as expected. Couldn't be happier.,  Great shoes,  fast shipping and turned out as expected couldnt be happier,   fast shipping turned expected nt happier,"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.4168}",-0.4168,negative
  I have been wearing for a solid week during my work outs & they are great for comfort and they are light weight.,  Love these shoes,  i have been wearing for a solid week during my work outs  they are great for comfort and they are light weight,   wearing solid week work outs   great comfort light weight,"{'neg': 0.0, 'neu': 0.675, 'pos': 0.325, 'compound': 0.802}",0.802,positive
  Love these shoes for circuit training.,  Five Stars,  love these shoes for circuit training,   love shoes circuit training,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",0.6369,positive
  Super comfortable. I joined Cross Fit and this is the perfect shoe.,  Super comfortable. I joined Cross Fit and this is ...,  super comfortable i joined cross fit and this is the perfect shoe,   super comfortable joined cross fit perfect shoe,"{'neg': 0.0, 'neu': 0.343, 'pos': 0.657, 'compound': 0.9246}",0.9246,positive
  just do it :),  Five Stars,  just do it ,  ,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}",0.4588,positive
  Love these, comfortable,  love these,   love,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,positive
  I love this show.,  So happy.,  i love this show,   love,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",0.6369,positive
